Symbol,Description,Records,Start_Date,End_Date,Years_of_Data,Latest_Price,Total_Return_%,Avg_Daily_Volume,Status
HDFCBANK.NS,HDFC Bank - Private Banking,6358,2000-01-03,2025-06-24,25.5,1960.9,13966.78,6765456,Success
RELIANCE.NS,"Reliance Industries - Oil, Gas & Energy",6355,2000-01-03,2025-06-24,25.5,1450.8,8059.04,34202487,Success
INFY.NS,Infosys - IT Services & Consulting,6358,2000-01-03,2025-06-24,25.5,1581.6,1874.45,15009979,Success
AXISBANK.NS,Axis Bank - Private Banking,6355,2000-01-03,2025-06-24,25.5,1221.2,32970.47,7973268,Success
TCS.NS,Tata Consultancy Services - IT Services,5676,2002-08-12,2025-06-24,22.9,3390.4,11740.47,3156503,Success
HINDUNILVR.NS,Hindustan Unilever - FMCG,6358,2000-01-03,2025-06-24,25.5,2263.1,1641.49,2037043,Success
ITC.NS,ITC Limited - FMCG & Cigarettes,6355,2000-01-03,2025-06-24,25.5,414.35,3795.96,16353773,Success
ICICIBANK.NS,ICICI Bank - Private Banking,5705,2002-07-01,2025-06-24,23.0,1424.1,6122.86,18785645,Success
ASIANPAINT.NS,Asian Paints - Paints & Coatings,5705,2002-07-01,2025-06-24,23.0,2275.3,13465.14,894372,Success
BHARTIARTL.NS,Bharti Airtel - Telecommunications,5705,2002-07-01,2025-06-24,23.0,1933.6,13202.56,6924074,Success
MARUTI.NS,Maruti Suzuki - Automotive,5441,2003-07-09,2025-06-24,22.0,12611.0,8748.47,1078717,Success
ULTRACEMCO.NS,UltraTech Cement - Cement,5675,2002-08-12,2025-06-24,22.9,11579.0,3998.53,269312,Success
TATAMOTORS.NS,Tata Motors - Automotive,6358,2000-01-03,2025-06-24,25.5,673.65,1546.62,16339299,Success
SUNPHARMA.NS,Sun Pharmaceutical - Pharmaceuticals,6358,2000-01-03,2025-06-24,25.5,1661.7,13939.37,3108619,Success
WIPRO.NS,Wipro - IT Services,6358,2000-01-03,2025-06-24,25.5,264.97,436.67,15387906,Success
